Jahr;Durchschnitt;Note 1.0;Note 1.1;Note 1.2;Note 1.3;Note 1.4;Note 1.5;Note 1.6;Note 1.7;Note 1.8;Note 1.9;Note 2.0;Note 2.1;Note 2.2;Note 2.3;Note 2.4;Note 2.5;Note 2.6;Note 2.7;Note 2.8;Note 2.9;Note 3.0;Note 3.1;Note 3.2;Note 3.3;Note 3.4;Note 3.5;Note 3.6;Note 3.7;Note 3.8;Note 3.9;Note 4.0;Nicht bestanden
2011;2,5;88;53;74;96;124;192;199;254;242;326;304;352;419;431;419;481;481;465;476;492;441;423;387;303;232;143;78;36;14;2;0;266
2012;2,49;93;72;97;130;147;189;224;234;282;325;363;363;412;413;451;489;529;506;501;522;464;438;418;367;262;153;72;39;6;1;0;325
2013;2,52;68;68;99;122;169;175;216;246;295;338;365;363;457;437;496;513;498;549;531;529;531;489;446;379;285;208;130;51;15;1;0;296
2014;2,51;86;64;92;110;162;165;190;244;259;288;318;321;339;354;402;399;443;422;394;433;385;373;351;314;225;139;97;38;6;0;0;189
2015;2,48;111;89;119;129;181;238;246;305;310;405;424;437;480;519;531;510;535;601;606;612;533;492;497;355;294;199;109;54;15;4;0;294
2016;2,48;190;122;181;254;287;391;400;548;587;664;655;736;851;859;907;974;982;1012;977;1033;945;859;754;634;503;328;168;77;16;2;0;549
2017;2,54;110;88;97;129;182;203;267;309;327;367;402;469;519;536;567;631;671;653;683;698;624;592;616;487;388;249;158;58;12;4;0;455
2018;2,53;104;74;99;149;203;199;229;283;312;370;372;452;432;472;526;493;573;620;583;619;553;536;547;454;366;254;139;64;17;1;1;437
2019;2,52;111;83;119;138;185;224;265;294;332;385;361;445;500;484;568;509;557;590;626;602;590;575;540;495;370;281;147;56;10;4;0;458
2020;2,49;141;93;146;155;194;216;299;304;310;384;390;392;394;482;518;513;550;539;579;617;538;496;473;412;347;224;418;55;13;3;0;381
2021;2,38;195;126;162;199;257;258;333;330;390;398;408;420;485;491;454;520;518;528;523;499;446;402;374;325;262;161;76;34;9;2;1;303
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abitur 2021 an allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abiturdurchschnittsnoten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enthalten sind die Ergebnisse der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-       öffentlichen allgemeinbildenden Schulen (Gymnasien, Gemeinschaftsschulen, Abendgymnasien),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-       staatlich anerkannten Ersatzschulen,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-       Waldorfschulen,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-       Externenprüfungen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
